"Genes","BxPC3_B1","PanC1_A1","BxPC3_B2","PanC1_D1","PanC1_B2","PanC1_C2","BxPC3_C2","BxPC3_A2","BxPC3_A1","PanC1_D2","PanC1_B1","PanC1_C1","PanC1_A2","BxPC3_D1","BxPC3_D2","BxPC3_C1"
"IPO5",17.1867615350949,16.9721095524375,17.2883074474705,16.7960637497236,16.6830531164942,16.7017903911901,17.4108746727521,17.9529720602061,17.511021569811,17.6361911958079,16.210499472456,17.700317094681,17.3501874779367,17.2054334991987,17.610208597367,17.1856938427163
"DDX54",14.9683119957863,14.7245198403744,14.6488577243283,15.308642670954,14.8596219879495,14.8493341195936,14.7918142679026,14.8718948853655,15.0022809344367,14.6103795982668,15.24582883673,14.7832217363311,15.2913457610891,15.3290639687027,14.9135832418103,14.7867654959016
"DNAJC21",13.0177921364217,13.0692834537545,13.8692875562445,13.0555956688441,12.7720478792743,13.1196905866102,13.357763531444,14.5653090384986,13.4546626324965,13.5073007223527,13.1743600355471,12.6344082803069,12.8701184049175,14.0203133600867,12.9854623986518,13.3427119028569
"FAM83H",14.1904425503557,14.0377018035486,14.7834105707321,12.5318845330701,13.6437471024401,13.8647572768172,15.2742963638566,16.1045086395429,15.1749007529715,12.8552368934664,13.1953783584112,12.1654787181325,12.7599778984089,15.4866804788243,14.8800351150773,15.4551295826987
"POGLUT1",14.0993299157542,15.0482290168648,16.205201786378,14.8088441745809,12.9638944551375,15.9517217923687,15.1352424604389,15.0726591484099,15.3827234434988,14.9885532638721,14.9051417513928,15.8904243211793,14.089861011912,14.444620676391,15.8093486516695,15.3092575274078
"PLEC",19.6357951848138,19.1373018436645,20.3124236369128,18.9333670050684,19.8040906546334,19.5874108867119,19.9733678006897,20.0535258080945,20.5169632810377,19.7414357288339,19.7773626794284,19.6228598024271,19.6923297225489,19.2138913527736,19.2082419054395,20.1768853798814
"NUP85",15.5160502622973,14.798438198074,15.5258284659847,15.2972446015627,14.8509377899916,15.1561638108186,16.3661668133711,16.861445801385,15.205140958889,14.2578730359989,15.6069064412474,15.7993211899369,14.6844419823537,15.3826288798602,15.9269046008234,13.0684104999802
"CARS1",16.4360939003137,16.7968305373785,15.4160437434775,16.9160048542589,17.5544035469616,18.2460134195094,16.9323614179379,16.2648730637664,15.378802187207,17.9499804298473,17.7318633773325,17.9910843121209,18.0452903186622,16.2369962819388,15.8109053372616,17.0454161395022
"LEMD2",14.5686587394489,15.4861137370421,14.2272784231613,15.7735691979479,15.8838009973708,15.7635206776243,15.2115055349759,14.8326521012218,14.6684488907785,15.1356256900141,16.1944098715871,14.7954738732468,15.2808722855998,12.5588859301912,15.1994323616675,15.711140440367
"PLXNB2",15.4860517783492,14.5519655146125,15.8570546829066,14.4191694212001,13.5180178386393,14.1467111433229,15.420937771179,16.0520838507299,14.8857486503402,13.6607849168875,14.573259499589,14.2346187953093,14.2607721848531,15.1565395529334,15.1815397702463,15.6679098741278
"PSMB7",17.8235035366138,17.0808781098867,18.5335780221543,16.9945213918869,17.6300213267219,18.4330419423498,18.1061715376457,17.9398494050853,19.0969776590882,18.6342865562837,16.8619511144044,16.3709787104734,16.6484469426435,16.9546878674035,18.7853190003483,17.2788702262697
"HSDL2",15.5709343726761,15.667353084366,16.1241985195907,15.7780864894592,16.1464963514875,15.4085475833519,15.8863633511722,16.1513387553125,15.7997797869943,15.7539016547795,15.2960973950446,15.3504105520552,15.7791888089793,16.1216779980351,15.8521853888609,16.7150654558334
"IMP4",14.5898025084344,13.6823882285341,13.7886222077772,15.0233662462727,15.7120886410627,14.6145246024871,14.9038838954751,14.6850025068463,15.322283190642,15.4151937848656,15.6795408446424,14.7886240549423,15.4378845342226,15.3768243175944,15.001456834381,13.7672554339203
"KAT7",13.1675229118262,12.096312889847,12.8288696437627,9.7464801250672,11.3911272228188,13.6671363233322,12.9958202514004,12.8794896927892,13.6219617431831,12.1954749603984,13.0851706994125,9.41321472145866,10.8775413004769,14.1089232574134,13.0661368307767,12.8577949518473
"VPS35L",15.274600661101,15.8386297706254,15.274600661101,16.978565811275,13.8447307686192,16.8952260684233,15.274600661101,15.274600661101,15.274600661101,14.4188377746404,15.6028535200258,14.2133532925097,14.6873233926546,15.274600661101,15.274600661101,15.274600661101
